,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
19179,"('integrator', 4)","('time', 4)","('five', 4)","('continuum', 4)","('balance', 4)","('law', 4)","('discrete', 4)","('integration', 4)","('momentum', 4)","('equation', 2)","('dynamical', 2)","('system', 2)","('irregular', 1)","('function', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19185,"('microstructures', 4)","('initiation', 4)","('contribution', 4)","('interface', 4)","('across', 4)","('damage', 4)","('influence', 4)","('general', 4)","('cohesive', 4)","('zone', 4)","('electrical', 4)","('jump', 4)","('effective', 4)","('resistance', 4)","('development', 4)","('study', 4)","('bulk', 4)","('property', 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19186,"('one', 2)","('achieve', 1)","('cyclic', 1)","('compression', 1)","('modeling', 1)","('metric', 1)","('find', 1)","('manufacture', 1)","('require', 1)","('preserve', 1)","('ratio', 1)","('analyze', 1)","('storage', 1)","('development', 1)","('select', 1)","('additive', 1)","('wavelet', 1)","('result', 1)","('error', 1)","('address', 1)","('hyperreduction', 1)","('reconstruct', 1)","('reconstruction', 1)","('measurement', 1)","('data', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19204,"('wave', 1)","('st', 1)","('mesh', 1)","('joint', 1)","('cell', 1)","('representation', 1)","('code', 1)","('propagation', 1)","('discontinuity', 1)","('flow', 1)","('spectral', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19205,"('correlation', 4)","('component', 4)","('mesoscale', 4)","('microstructure', 4)","('tensile', 4)","('information', 4)","('level', 4)","('probabilistic', 4)","('overall', 3)","('finiteelement', 2)","('composite', 2)","('function', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19211,"('case', 1)","('bond', 1)","('interface', 1)","('description', 1)","('model', 1)","('contact', 1)","('involve', 1)","('body', 1)","('orthotropic', 1)","('adhesive', 1)","('effect', 1)","('tangential', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19212,"('degree', 2)","('nonlinear', 2)","('harmonic', 2)","('steadystate', 2)","('method', 2)","('freedom', 2)","('motion', 2)","('approximate', 2)","('hybrid', 2)","('difference', 2)","('balance', 2)","('approximation', 2)","('system', 2)","('dynamical', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19213,"('constrain', 3)","('constraint', 3)","('cylindrical', 2)","('one', 2)","('point', 2)","('equation', 2)","('soften', 2)","('successful', 2)","('suit', 2)","('kind', 2)","('branch', 2)","('consistently', 2)","('spherical', 2)","('path', 2)","('direct', 2)","('latter', 2)","('andor', 2)","('yet', 2)","('critical', 2)","('another', 2)","('increment', 2)","('eg', 1)","('quadratic', 1)","('handle', 1)","('finite', 1)","('framework', 1)","('apply', 1)","('set', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19221,"('performance', 3)","('structural', 3)","('blade', 3)","('operate', 3)","('open', 3)","('shell', 3)","('wind', 3)","('turbine', 3)","('soil', 3)","('impact', 3)","('dual', 3)","('frequency', 3)","('structure', 1)","('condition', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19222,"('strain', 2)","('learning', 1)","('physical', 1)","('process', 1)","('thermal', 1)","('pinn', 1)","('data', 1)","('training', 1)","('metal', 1)","('damage', 1)","('learn', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19229,"('relaxation', 3)","('mass', 3)","('constraint', 3)","('matrix', 3)","('stability', 3)","('problem', 3)","('relevant', 3)","('artery', 2)","('variant', 2)","('radius', 1)","('account', 1)","('applicability', 1)","('discretize', 1)","('fluid', 1)","('result', 1)","('investigate', 1)","('interaction', 1)","('spectral', 1)","('stiffness', 1)","('fluidstructure', 1)","('partition', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19234,"('st', 3)","('dc', 3)","('parameter', 3)","('computation', 3)","('expression', 3)","('stabilization', 3)","('element', 3)","('discretization', 3)","('flow', 2)","('physical', 1)","('map', 1)","('derivation', 1)","('also', 1)","('incompressible', 1)","('equation', 1)","('isogeometric', 1)","('navierstokes', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19235,"('combination', 3)","('whose', 3)","('stressstrain', 3)","('constituent', 3)","('individual', 3)","('explore', 3)","('investigate', 3)","('measurement', 3)","('composite', 3)","('test', 3)","('without', 1)","('respectively', 1)","('macroscopic', 1)","('local', 1)","('characteristic', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19236,"('complex', 1)","('structure', 1)","('base', 1)","('three', 1)","('detection', 1)","('dimensional', 1)","('introduce', 1)","('extend', 1)","('case', 1)","('optimization', 1)","('hybrid', 1)","('fracture', 1)","('serve', 1)","('identification', 1)","('crack', 1)","('variant', 1)","('socalled', 1)","('algorithm', 1)","('multiple', 1)","('forward', 1)","('study', 1)","('set', 1)","('potential', 1)","('efficient', 1)","('basis', 1)","('sparse', 1)","('scheme', 1)","('multiscale', 1)","('tackle', 1)","('particularly', 1)","('complexity', 1)","('measurement', 1)","('inverse', 1)","('propose', 1)","('vary', 1)","('xfem', 1)","('near', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19237,"('principal', 2)","('stretch', 2)","('symmetric', 2)","('shear', 1)","('denote', 1)","('operator', 1)","('deformation', 1)","('capability', 1)","('u', 1)","('parallel', 1)","('modulus', 1)","('bulk', 1)","('positive', 1)","('k', 1)","('investigate', 1)","('trace', 1)","('respectively', 1)","('equivalent', 1)","('spectral', 1)","('whose', 1)","('property', 1)","('n', 1)","('matrix', 1)","('undergo', 1)","('challenge', 1)","('x', 1)","('decomposition', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19246,"('network', 3)","('neural', 3)","('deep', 3)","('block', 3)","('kernel', 2)","('reduce', 2)","('learning', 2)","('train', 1)","('density', 1)","('call', 1)","('optimization', 1)","('generalize', 1)","('procedure', 1)","('hierarchical', 1)","('design', 1)","('gaussian', 1)","('iterative', 1)","('number', 1)","('iteration', 1)","('topology', 1)","('minimum', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19255,"('mortar', 1)","('procedure', 1)","('cell', 1)","('point', 1)","('segment', 1)","('numerical', 1)","('polynomial', 1)","('increase', 1)","('quadrature', 1)","('quadrilateral', 1)","('integration', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19257,"('state', 1)","('stress', 1)","('current', 1)","('external', 1)","('incremental', 1)","('herein', 1)","('life', 1)","('determine', 1)","('body', 1)","('damage', 1)","('reduction', 1)","('cycle', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19259,"('isogeometric', 2)","('layer', 2)","('one', 1)","('inplane', 1)","('constitute', 1)","('depend', 1)","('performance', 1)","('require', 1)","('split', 1)","('discretizations', 1)","('outofplane', 1)","('work', 1)","('laminate', 1)","('assembly', 1)","('reduce', 1)","('machine', 1)","('additionally', 1)","('integral', 1)","('composite', 1)","('magnitude', 1)","('speed', 1)","('stiffness', 1)","('number', 1)","('matrix', 1)","('orientation', 1)","('hence', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19262,"('analytical', 1)","('full', 1)","('reveal', 1)","('unit', 1)","('integration', 1)","('network', 1)","('reliable', 1)","('recent', 1)","('still', 1)","('function', 1)","('accord', 1)","('force', 1)","('integral', 1)","('error', 1)","('chain', 1)","('elasticity', 1)","('verification', 1)","('inverse', 1)","('rubber', 1)","('relative', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19264,"('interval', 2)","('failure', 2)","('criterion', 2)","('reliability', 2)","('fiber', 2)","('laminate', 2)","('composite', 2)","('system', 2)","('fiberreinforced', 1)","('respectively', 1)","('base', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19272,"('transformation', 2)","('interface', 2)","('energy', 2)","('phase', 2)","('regularization', 2)","('shock', 2)","('along', 2)","('evolution', 2)","('base', 2)","('level', 2)","('set', 2)","('additional', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19273,"('contact', 2)","('nurbs', 2)","('macroscopic', 2)","('frictional', 2)","('isogeometric', 2)","('debonding', 1)","('surface', 1)","('search', 1)","('large', 1)","('rational', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19278,"('state', 2)","('orientation', 2)","('effective', 2)","('fiber', 2)","('scheme', 1)","('velocity', 1)","('flow', 1)","('water', 1)","('density', 1)","('pressure', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19279,"('engineering', 2)","('implement', 2)","('second', 2)","('structure', 2)","('easily', 1)","('derivation', 1)","('sample', 1)","('guide', 1)","('greatly', 1)","('real', 1)","('largescale', 1)","('useful', 1)","('viscoelastic', 1)","('strategy', 1)","('algebraic', 1)","('robust', 1)","('damp', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19283,"('fiber', 2)","('alleviate', 2)","('discrete', 2)","('important', 2)","('reinforce', 2)","('heart', 2)","('reinforcement', 2)","('robust', 2)","('number', 2)","('human', 2)","('orientation', 2)","('facilitate', 1)","('specimen', 1)","('unstructured', 1)","('cast', 1)","('concrete', 1)","('consist', 1)","('homogenize', 1)","('compression', 1)","('specifically', 1)","('couple', 1)","('consider', 1)","('overlap', 1)","('conventional', 1)","('isotropic', 1)","('calculation', 1)","('construct', 1)","('within', 1)","('limitation', 1)","('assembly', 1)","('analyze', 1)","('simulate', 1)","('parallel', 1)","('function', 1)","('simulation', 1)","('contain', 1)","('effectively', 1)","('fast', 1)","('estimation', 1)","('resultant', 1)","('stage', 1)","('iterative', 1)","('patientspecific', 1)","('jacobian', 1)","('lack', 1)","('degree', 1)","('discontinuous', 1)","('decomposition', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19285,"('density', 2)","('formulation', 2)","('variable', 2)","('formalism', 1)","('generic', 1)","('choose', 1)","('incremental', 1)","('concrete', 1)","('particular', 1)","('early', 1)","('choice', 1)","('constitutive', 1)","('adapt', 1)","('creep', 1)","('evolution', 1)","('state', 1)","('configuration', 1)","('hand', 1)","('thermodynamic', 1)","('example', 1)","('internal', 1)","('must', 1)","('scheme', 1)","('another', 1)","('newly', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19286,"('surface', 2)","('two', 2)","('contact', 2)","('beam', 2)","('aspect', 1)","('frictionless', 1)","('fcm', 1)","('enforce', 1)","('droplet', 1)","('cohesive', 1)","('work', 1)","('line', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19288,"('lack', 2)","('continuity', 2)","('failure', 2)","('calculation', 2)","('criterion', 2)","('open', 2)","('velocity', 2)","('issue', 2)","('crack', 2)","('prediction', 1)","('shape', 1)","('life', 1)","('probabilistic', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19290,"('anisotropy', 1)","('lack', 1)","('classical', 1)","('interface', 1)","('theory', 1)","('joint', 1)","('zone', 1)","('elastic', 1)","('cohesive', 1)","('deal', 1)","('equation', 1)","('stretch', 1)","('inelastic', 1)","('rock', 1)","('elasticity', 1)","('degradation', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19292,"('one', 1)","('pinn', 1)","('namely', 1)","('performance', 1)","('play', 1)","('network', 1)","('experiment', 1)","('least', 1)","('determine', 1)","('solid', 1)","('still', 1)","('function', 1)","('prediction', 1)","('significantly', 1)","('loss', 1)","('code', 1)","('conduct', 1)","('technique', 1)","('source', 1)","('rapid', 1)","('neural', 1)","('square', 1)","('collocation', 1)","('tailor', 1)","('weight', 1)","('role', 1)","('comparison', 1)","('critical', 1)","('mechanic', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19295,"('body', 2)","('physical', 1)","('temporal', 1)","('extension', 1)","('enforce', 1)","('accomplish', 1)","('spatial', 1)","('predictive', 1)","('constitute', 1)","('evolve', 1)","('simultaneously', 1)","('kinematics', 1)","('dimension', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19296,"('test', 2)","('wing', 1)","('mesh', 1)","('st', 1)","('surface', 1)","('version', 1)","('computation', 1)","('motion', 1)","('step', 1)","('accumulate', 1)","('distortion', 1)","('movingmesh', 1)","('move', 1)","('ale', 1)","('way', 1)","('stiffen', 1)","('cycle', 1)","('near', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19297,"('single', 1)","('blood', 1)","('magnetic', 1)","('external', 1)","('transport', 1)","('within', 1)","('flow', 1)","('handle', 1)","('particle', 1)","('chain', 1)","('field', 1)","('scale', 1)","('drug', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19298,"('static', 2)","('vibration', 2)","('nonlinear', 2)","('rotate', 2)","('force', 2)","('loss', 2)","('analysis', 2)","('iterative', 2)","('frequency', 2)","('stiffness', 1)","('core', 1)","('angle', 1)","('modulus', 1)","('beam', 1)","('viscoelastic', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19299,"('edge', 2)","('error', 2)","('facilitate', 1)","('functional', 1)","('regularization', 1)","('phasefield', 1)","('realize', 1)","('jump', 1)","('relationship', 1)","('specifically', 1)","('localization', 1)","('residual', 1)","('fracture', 1)","('consequently', 1)","('discretization', 1)","('weak', 1)","('systematic', 1)","('strong', 1)","('influence', 1)","('spatial', 1)","('goal', 1)","('study', 1)","('certain', 1)","('straightforward', 1)","('evaluation', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19300,"('st', 1)","('computational', 1)","('wake', 1)","('computation', 1)","('mdm', 1)","('different', 1)","('direction', 1)","('twopart', 1)","('turbine', 1)","('error', 1)","('resolution', 1)","('isogeometric', 1)","('article', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19301,"('multidimensional', 1)","('trial', 1)","('derivative', 1)","('weight', 1)","('differential', 1)","('complexity', 1)","('equation', 1)","('shape', 1)","('order', 1)","('approximation', 1)","('fractional', 1)","('meshfree', 1)","('function', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19302,"('derive', 1)","('bound', 1)","('solve', 1)","('force', 1)","('stress', 1)","('constrain', 1)","('contact', 1)","('body', 1)","('nodal', 1)","('elastic', 1)","('node', 1)","('finite', 1)","('standard', 1)","('first', 1)","('function', 1)","('fraction', 1)","('dimension', 1)","('formulation', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19303,"('elasticity', 1)","('appl', 1)","('mech', 1)","('beam', 1)","('et', 1)","('eng', 1)","('dimensional', 1)","('novel', 1)","('al', 1)","('comput', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19304,"('variant', 1)","('state', 1)","('model', 1)","('microstructure', 1)","('limit', 1)","('dislocation', 1)","('directional', 1)","('macroscopic', 1)","('rigorous', 1)","('dimensional', 1)","('rate', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19305,"('mesh', 1)","('spin', 1)","('st', 1)","('sttc', 1)","('tire', 1)","('computation', 1)","('representation', 1)","('contact', 1)","('enable', 1)","('geometry', 1)","('flow', 1)","('stsi', 1)","('road', 1)","('challenge', 1)","('deformation', 1)","('near', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19306,"('transient', 1)","('angle', 1)","('alternative', 1)","('embed', 1)","('motion', 1)","('fe', 1)","('acceleration', 1)","('within', 1)","('discontinuity', 1)","('velocity', 1)","('modal', 1)","('solution', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19307,"('objective', 1)","('among', 1)","('free', 1)","('procedure', 1)","('fix', 1)","('magnetic', 1)","('inside', 1)","('boundary', 1)","('since', 1)","('resolution', 1)","('specifically', 1)","('surround', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
