,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
19308,"('mesh', 1)","('fully', 1)","('initial', 1)","('quadratic', 1)","('level', 1)","('integration', 1)","('energy', 1)","('isotropic', 1)","('boundary', 1)","('simple', 1)","('formulation', 1)","('simulation', 1)","('robust', 1)","('approach', 1)","('kinematics', 1)","('displacement', 1)","('easily', 1)","('do', 1)","('deform', 1)","('complex', 1)","('secondorder', 1)","('strain', 1)","('application', 1)","('initially', 1)","('wellknown', 1)","('unknown', 1)","('anisotropic', 1)","('assume', 1)","('edge', 1)","('geometry', 1)","('reference', 1)","('write', 1)","('framework', 1)","('state', 1)","('interpolation', 1)","('triangular', 1)","('thus', 1)","('value', 1)","('thin', 1)","('provide', 1)","('shell', 1)","('include', 1)","('exact', 1)","('element', 1)","('interface', 1)","('nonlinear', 1)","('stress', 1)","('accomplish', 1)","('dependent', 1)","('lead', 1)","('incorporate', 1)","('deformation', 1)","('midsurface', 1)","('finite', 1)","('nodal', 1)","('penalty', 1)","('term', 1)","('previous', 1)","('derivative', 1)","('reliability', 1)","('numerical', 1)","('first', 1)","('fold', 1)","('implementation', 1)","('kirchhofflove', 1)","('one', 1)","('show', 1)","('regard', 1)","('position', 1)","('nature', 1)","('continuous', 1)","('flexibility', 1)","('plane', 1)","('configuration', 1)","('result', 1)","('time', 1)","('consistent', 1)","('gradient', 1)","('basis', 1)","('geometrically', 1)","('condition', 1)","('even', 1)"
19309,"('interface', 1)","('wake', 1)","('embed', 1)","('treatment', 1)","('frame', 1)","('gap', 1)","('work', 1)","('special', 1)","('solver', 1)","('flow', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19310,"('optimization', 1)","('property', 1)","('response', 1)","('spatial', 1)","('material', 1)","('inverse', 1)","('distribution', 1)","('estimate', 1)","('characterization', 1)","('unknown', 1)","('system', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19311,"('procedure', 1)","('tangent', 1)","('matrix', 1)","('boundary', 1)","('hand', 1)","('linear', 1)","('macroscopic', 1)","('elimination', 1)","('operator', 1)","('system', 1)","('side', 1)","('efficient', 1)","('microscopic', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19312,"('strain', 1)","('show', 1)","('electrical', 1)","('begin', 1)","('five', 1)","('objective', 1)","('morphology', 1)","('build', 1)","('sense', 1)","('bulk', 1)","('physical', 1)","('force', 1)","('follow', 1)","('film', 1)","('derive', 1)","('image', 1)","('thin', 1)","('property', 1)","('input', 1)","('measurement', 1)","('polymer', 1)","('significant', 1)","('affect', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19313,"('wave', 1)","('surface', 1)","('interface', 1)","('free', 1)","('phase', 1)","('accurately', 1)","('presence', 1)","('et', 1)","('flow', 1)","('water', 1)","('break', 1)","('purpose', 1)","('fluid', 1)","('level', 1)","('high', 1)","('al', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19314,"('car', 1)","('optimization', 1)","('train', 1)","('shape', 1)","('drag', 1)","('object', 1)","('example', 1)","('determine', 1)","('reduce', 1)","('optimal', 1)","('design', 1)","('find', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19315,"('objective', 1)","('iteration', 1)","('furthermore', 1)","('spatial', 1)","('nodal', 1)","('form', 1)","('position', 1)","('fe', 1)","('inverse', 1)","('design', 1)","('compute', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19316,"('stiffness', 1)","('derivative', 1)","('conventional', 1)","('matrix', 1)","('equation', 1)","('symmetric', 1)","('band', 1)","('diffusion', 1)","('fractional', 1)","('element', 1)","('formulation', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19317,"('implement', 1)","('interface', 1)","('parameter', 1)","('moreover', 1)","('overlap', 1)","('force', 1)","('could', 1)","('convergence', 1)","('nodal', 1)","('edge', 1)","('along', 1)","('subdomain', 1)","('compute', 1)","('value', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19318,"('discuss', 1)","('pore', 1)","('mechanistic', 1)","('cast', 1)","('initial', 1)","('reveal', 1)","('investigation', 1)","('incorporate', 1)","('identify', 1)","('porosity', 1)","('manufacturing', 1)","('mechanism', 1)","('distribution', 1)","('simulation', 1)","('additive', 1)","('explain', 1)","('location', 1)","('effect', 1)","('damage', 1)","('thickness', 1)","('gradient', 1)","('vary', 1)","('formation', 1)","('rate', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19319,"('complex', 1)","('implementation', 1)","('difficulty', 1)","('nonlinear', 1)","('use', 1)","('application', 1)","('however', 1)","('successful', 1)","('method', 1)","('solution', 1)","('integration', 1)","('several', 1)","('surface', 1)","('regard', 1)","('efficiency', 1)","('solve', 1)","('boundary', 1)","('grid', 1)","('calculation', 1)","('work', 1)","('threedimensional', 1)","('demonstrate', 1)","('enhance', 1)","('discretization', 1)","('formula', 1)","('perform', 1)","('linear', 1)","('domain', 1)","('regular', 1)","('effectiveness', 1)","('evaluate', 1)","('example', 1)","('integral', 1)","('term', 1)","('thus', 1)","('volume', 1)","('major', 1)","('acceleration', 1)","('efficient', 1)","('geometrically', 1)","('scheme', 1)","('bem', 1)","('elastic', 1)","('problem', 1)","('far', 1)","('numerical', 1)","('element', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19320,"('due', 1)","('achieve', 1)","('orthogonal', 1)","('one', 1)","('deal', 1)","('well', 1)","('difference', 1)","('transformation', 1)","('case', 1)","('reach', 1)","('product', 1)","('highorder', 1)","('polynomial', 1)","('reference', 1)","('onedimensional', 1)","('connect', 1)","('need', 1)","('respect', 1)","('illustrate', 1)","('effectiveness', 1)","('time', 1)","('examples', 1)","('length', 1)","('easily', 1)","('combination', 1)","('sparse', 1)","('even', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19321,"('microstructures', 1)","('gradient', 1)","('polycrystalline', 1)","('enrich', 1)","('xfem', 1)","('step', 1)","('propagation', 1)","('front', 1)","('along', 1)","('set', 1)","('damage', 1)","('field', 1)","('crack', 1)","('enhance', 1)","('discrete', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19322,"('implementation', 1)","('develop', 1)","('map', 1)","('modeling', 1)","('inelastic', 1)","('differentiation', 1)","('transient', 1)","('component', 1)","('play', 1)","('manufacturing', 1)","('creep', 1)","('temperature', 1)","('parallel', 1)","('simultaneously', 1)","('ratedependent', 1)","('plasticity', 1)","('microstructural', 1)","('tangent', 1)","('predict', 1)","('code', 1)","('algorithm', 1)","('science', 1)","('represent', 1)","('additional', 1)","('key', 1)","('quadrature', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19323,"('surrogate', 1)","('cardiac', 1)","('pgd', 1)","('bayesian', 1)","('aim', 1)","('shape', 1)","('real', 1)","('computationally', 1)","('velocity', 1)","('conduction', 1)","('increase', 1)","('formulation', 1)","('identification', 1)","('identify', 1)","('simulation', 1)","('effort', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19324,"('correlation', 1)","('geometrical', 1)","('shape', 1)","('stochastic', 1)","('random', 1)","('combine', 1)","('stability', 1)","('length', 1)","('field', 1)","('imperfection', 1)","('structure', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19325,"('rigid', 1)","('science', 1)","('cylindrical', 1)","('patientspecific', 1)","('pdes', 1)","('wall', 1)","('stabilize', 1)","('resistance', 1)","('symmetry', 1)","('many', 1)","('minimum', 1)","('study', 1)","('spectral', 1)","('deformable', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19326,"('sensitivity', 1)","('geometrical', 1)","('parameter', 1)","('failure', 1)","('respect', 1)","('individual', 1)","('radius', 1)","('transverse', 1)","('fiber', 1)","('laminate', 1)","('distribution', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19327,"('introduces', 1)","('map', 1)","('process', 1)","('uncertainty', 1)","('one', 1)","('concept', 1)","('quantify', 1)","('year', 1)","('imperfection', 1)","('surface', 1)","('amount', 1)","('temperature', 1)","('limitation', 1)","('benchmark', 1)","('capable', 1)","('industry', 1)","('moreover', 1)","('upon', 1)","('gaussian', 1)","('prediction', 1)","('associate', 1)","('idea', 1)","('data', 1)","('parametric', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19328,"('formalism', 1)","('relate', 1)","('specify', 1)","('equation', 1)","('rigorous', 1)","('molecular', 1)","('residual', 1)","('build', 1)","('related', 1)","('explicitly', 1)","('standard', 1)","('vector', 1)","('single', 1)","('jacobian', 1)","('embed', 1)","('cover', 1)","('type', 1)","('partition', 1)","('range', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19329,"('implementation', 1)","('similar', 1)","('principal', 1)","('stretch', 1)","('wellknown', 1)","('software', 1)","('definition', 1)","('hyperelasticity', 1)","('effort', 1)","('product', 1)","('measure', 1)","('equal', 1)","('low', 1)","('multiple', 1)","('analysis', 1)","('elasticity', 1)","('subroutine', 1)","('input', 1)","('response', 1)","('rubber', 1)","('unique', 1)","('symmetric', 1)","('coefficient', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19330,"('specimen', 1)","('regularization', 1)","('phasefield', 1)","('coalescence', 1)","('concrete', 1)","('effective', 1)","('dissipation', 1)","('experiment', 1)","('fracture', 1)","('simulate', 1)","('recent', 1)","('crack', 1)","('plasticity', 1)","('twoscale', 1)","('slip', 1)","('representative', 1)","('reinforcement', 1)","('independent', 1)","('ductile', 1)","('variable', 1)","('calibrate', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19331,"('projection', 1)","('fft', 1)","('alternative', 1)","('cyclic', 1)","('life', 1)","('et', 1)","('eng', 1)","('difference', 1)","('fem', 1)","('operator', 1)","('al', 1)","('fatigue', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19332,"('plastic', 1)","('load', 1)","('failure', 1)","('condition', 1)","('inverse', 1)","('base', 1)","('impact', 1)","('deformation', 1)","('structure', 1)","('final', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19333,"('asymmetric', 1)","('prescribe', 1)","('inplane', 1)","('since', 1)","('construct', 1)","('mode', 1)","('outofplane', 1)","('converge', 1)","('solidshell', 1)","('modal', 1)","('symmetric', 1)","('structure', 1)","('frequency', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19334,"('secondorder', 1)","('mesh', 1)","('structural', 1)","('unstructured', 1)","('process', 1)","('grid', 1)","('solver', 1)","('balance', 1)","('parallel', 1)","('fluid', 1)","('couple', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19335,"('basis', 1)","('transient', 1)","('peridynamics', 1)","('steadystate', 1)","('homogenization', 1)","('able', 1)","('elastoplasticity', 1)","('impact', 1)","('damage', 1)","('global', 1)","('separation', 1)","('multiplicative', 1)","('pressure', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19336,"('microstructures', 1)","('achieve', 1)","('necessary', 1)","('four', 1)","('create', 1)","('concern', 1)","('poisson', 1)","('microstructural', 1)","('widely', 1)","('artificial', 1)","('homogeneous', 1)","('limit', 1)","('detail', 1)","('phase', 1)","('individual', 1)","('deep', 1)","('ie', 1)","('relative', 1)","('data', 1)","('large', 1)","('another', 1)","('structure', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19337,"('less', 1)","('research', 1)","('kernel', 1)","('refine', 1)","('rkpm', 1)","('open', 1)","('elaborate', 1)","('forward', 1)","('addition', 1)","('still', 1)","('besides', 1)","('family', 1)","('onedimensional', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19338,"('version', 1)","('achieve', 1)","('model', 1)","('well', 1)","('employ', 1)","('accuracy', 1)","('exist', 1)","('independently', 1)","('discrete', 1)","('find', 1)","('capability', 1)","('consider', 1)","('regard', 1)","('efficiency', 1)","('procedure', 1)","('conventional', 1)","('finite', 1)","('approximate', 1)","('within', 1)","('geometric', 1)","('capable', 1)","('rom', 1)","('moreover', 1)","('apply', 1)","('improve', 1)","('variation', 1)","('interpolation', 1)","('step', 1)","('significantly', 1)","('result', 1)","('approach', 1)","('parameterized', 1)","('efficient', 1)","('compare', 1)","('computational', 1)","('address', 1)","('number', 1)","('online', 1)","('reducedorder', 1)","('computation', 1)","('matrix', 1)","('accurately', 1)","('nonlinearities', 1)","('stability', 1)","('propose', 1)","('numerical', 1)","('significant', 1)","('data', 1)","('parametric', 1)","('adaptive', 1)","('structure', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19339,"('central', 1)","('produce', 1)","('zone', 1)","('illustrate', 1)","('small', 1)","('mathematical', 1)","('drag', 1)","('location', 1)","('time', 1)","('progressive', 1)","('far', 1)","('range', 1)","('particle', 1)","('distribution', 1)","('surround', 1)","('distance', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19340,"('physical', 1)","('parameter', 1)","('brittle', 1)","('inversion', 1)","('property', 1)","('ensemble', 1)","('propagation', 1)","('random', 1)","('inverse', 1)","('challenge', 1)","('highfidelity', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19341,"('case', 1)","('strain', 1)","('yield', 1)","('separate', 1)","('manner', 1)","('principle', 1)","('recover', 1)","('balance', 1)","('equivalent', 1)","('viscosity', 1)","('zero', 1)","('formulation', 1)","('rate', 1)","('viscoplastic', 1)","('integration', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19342,"('formalism', 1)","('motion', 1)","('dependent', 1)","('express', 1)","('correspond', 1)","('dislocation', 1)","('nature', 1)","('edge', 1)","('mechanism', 1)","('validate', 1)","('accelerate', 1)","('steel', 1)","('slip', 1)","('limit', 1)","('investigate', 1)","('high', 1)","('sample', 1)","('control', 1)","('elastic', 1)","('drag', 1)","('data', 1)","('rate', 1)","('publish', 1)","('subsequently', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19343,"('parameter', 1)","('online', 1)","('experimental', 1)","('bayesian', 1)","('estimation', 1)","('phasefield', 1)","('update', 1)","('property', 1)","('fracture', 1)","('data', 1)","('approach', 1)","('offline', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19344,"('less', 1)","('dynamic', 1)","('temporal', 1)","('blood', 1)","('process', 1)","('iteration', 1)","('timedependent', 1)","('network', 1)","('flow', 1)","('relative', 1)","('error', 1)","('converge', 1)","('fluid', 1)","('biological', 1)","('mesoscopic', 1)","('acceleration', 1)","('simulation', 1)","('reference', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19345,"('stress', 1)","('train', 1)","('flow', 1)","('ann', 1)","('comprise', 1)","('transmission', 1)","('size', 1)","('correspond', 1)","('deposition', 1)","('constitutive', 1)","('network', 1)","('within', 1)","('therefore', 1)","('plane', 1)","('could', 1)","('load', 1)","('pure', 1)","('low', 1)","('particle', 1)","('set', 1)","('thereby', 1)","('human', 1)","('layer', 1)","('type', 1)","('data', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19346,"('reducedorder', 1)","('boundary', 1)","('thermal', 1)","('fe', 1)","('mechanical', 1)","('tool', 1)","('original', 1)","('parametric', 1)","('system', 1)","('machine', 1)","('frequency', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19347,"('nonlocal', 1)","('instability', 1)","('suggest', 1)","('pd', 1)","('compression', 1)","('behavior', 1)","('material', 1)","('continuum', 1)","('film', 1)","('local', 1)","('critical', 1)","('solution', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19348,"('st', 1)","('basis', 1)","('manifold', 1)","('part', 1)","('temporal', 1)","('interpolation', 1)","('matrix', 1)","('singular', 1)","('compact', 1)","('fem', 1)","('define', 1)","('rom', 1)","('pod', 1)","('value', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19349,"('interface', 1)","('geometrical', 1)","('consistency', 1)","('ensure', 1)","('jump', 1)","('focus', 1)","('et', 1)","('discrete', 1)","('hierarchical', 1)","('variational', 1)","('maximum', 1)","('al', 1)","('bound', 1)","('nitsches', 1)","('form', 1)","('eng', 1)","('appl', 1)","('prescribe', 1)","('weight', 1)","('general', 1)","('attention', 1)","('condition', 1)","('class', 1)","('eigenvalue', 1)","('comput', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19350,"('crosssection', 1)","('theory', 1)","('nonlinear', 1)","('well', 1)","('deal', 1)","('node', 1)","('employ', 1)","('way', 1)","('refinement', 1)","('refine', 1)","('highorder', 1)","('compact', 1)","('analyze', 1)","('demand', 1)","('change', 1)","('therefore', 1)","('highly', 1)","('phenomenon', 1)","('onedimensional', 1)","('write', 1)","('warp', 1)","('independent', 1)","('analysis', 1)","('equilibrium', 1)","('kinematics', 1)","('keep', 1)","('easily', 1)","('structural', 1)","('recursive', 1)","('reasonable', 1)","('uniform', 1)","('kinematic', 1)","('reliability', 1)","('undergo', 1)","('higherorder', 1)","('symmetric', 1)","('structure', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19351,"('stiffness', 1)","('bound', 1)","('conductivity', 1)","('phase', 1)","('weight', 1)","('constituent', 1)","('thermal', 1)","('effective', 1)","('topology', 1)","('optimal', 1)","('design', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19352,"('constraint', 1)","('degree', 1)","('embed', 1)","('freedom', 1)","('orientation', 1)","('beam', 1)","('definition', 1)","('solid', 1)","('rotational', 1)","('potential', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
