node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,alpha_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.943650908799124,735,1490,0.4932885906040268,0.2,2.0,170,970,0,,"[1,235,184,1603,3748,7389,128,8539,2071,869,5749,10971,12933,15097,9195,391,18848,7969,19926,14207,7904,53,8518,12652,14645,114,350,473,13173,14659,59,22123,16440,5631,988,3775,145,2255,31487,27021,32993,15935,5077,33790,33924,31328,32335,33443,31099,32956,33969,808,7752,34205,34284,3,23422,31684,19691,27410,20052,24,6175,33431,15193,97,35058,8209,35044,34928,32451,5589,17618,34627,35278,31425,35133,13337]",78
5749,5.551023505179615,92,1490,0.061744966442953,0.2,2.0,170,18,1,0.0,"[11599,21594,35344,35373]",4
21594,5.270220385401119,95,1490,0.0637583892617449,0.2,2.0,170,10,2,5749.0,,0
1303,4.96244257107386,134,1490,0.0899328859060402,0.2,2.0,170,13,2,1.0,,0
20007,5.221871222889567,57,1490,0.0382550335570469,0.2,2.0,170,4,2,7969.0,,0
13173,6.045854457122944,61,1490,0.0409395973154362,0.2,2.0,170,10,1,0.0,[27448],1
14149,5.32844802934953,60,1490,0.0402684563758389,0.2,2.0,170,4,2,7389.0,,0
12652,5.879093047763672,72,1490,0.0483221476510067,0.2,2.0,170,17,1,0.0,[24262],1
7969,5.413941583982315,51,1490,0.034228187919463,0.2,2.0,170,10,1,0.0,"[20007,28056,34705,35290]",4
869,5.432023835197867,117,1490,0.0785234899328859,0.2,2.0,170,22,1,0.0,"[11543,32783,34591,35302,35335]",5
1,4.502268728212537,285,1490,0.1912751677852349,0.2,2.0,170,219,1,0.0,"[2,162,358,516,602,825,1303,1518,1645,2494,3474,3589,5599,8027,8689,9119,21727,22459,24880,25740,25961,27033,28299,28806,29136,32401,32938,33677,34143,34349,34669,34820,35114,35166,35230,35247,35297,35300,35346]",39
602,4.994899905355598,144,1490,0.0966442953020134,0.2,2.0,170,12,2,1.0,,0
473,6.95196507679799,22,1490,0.0147651006711409,0.2,2.0,170,7,1,0.0,"[25882,34969,35361]",3
16440,5.597714612972669,83,1490,0.0557046979865771,0.2,2.0,170,13,1,0.0,"[30229,35334,35348]",3
25740,5.396731151494585,57,1490,0.0382550335570469,0.2,2.0,170,3,2,1.0,,0
15935,6.854523037166292,21,1490,0.0140939597315436,0.2,2.0,170,5,1,0.0,[33073],1
53,4.532266230372471,108,1490,0.07248322147651,0.2,2.0,170,31,1,0.0,"[22108,34060,34578,34858,35202,35330,35342,35368]",8
22108,5.681160296619922,108,1490,0.07248322147651,0.2,2.0,170,6,2,53.0,,0
162,5.016278507039687,106,1490,0.0711409395973154,0.2,2.0,170,8,2,1.0,,0
24,5.962036799229936,46,1490,0.0308724832214765,0.2,2.0,170,7,1,0.0,"[34916,35336]",2
2255,5.6566330301904335,86,1490,0.0577181208053691,0.2,2.0,170,12,1,0.0,"[32323,35126,35175,35367]",4
24262,5.417190238648938,209,1490,0.1402684563758389,0.2,2.0,170,17,2,12652.0,,0
7904,5.840935363855933,84,1490,0.0563758389261744,0.2,2.0,170,15,1,0.0,[22063],1
22063,4.902554641368002,141,1490,0.0946308724832214,0.2,2.0,170,15,2,7904.0,,0
617,5.831768927461453,80,1490,0.0536912751677852,0.2,2.0,170,4,2,184.0,,0
808,5.448525591224276,77,1490,0.0516778523489932,0.2,2.0,170,12,1,0.0,"[34224,34900,35106,35347,35351,35353]",6
2969,4.848305760531242,121,1490,0.0812080536912751,0.2,2.0,170,14,2,1603.0,,0
3775,5.530680233667591,93,1490,0.0624161073825503,0.2,2.0,170,12,1,0.0,"[31659,34446,35352,35355]",4
22123,5.424281150057222,96,1490,0.0644295302013422,0.2,2.0,170,14,1,0.0,"[29729,34641,35094,35123]",4
19554,4.958723429824986,123,1490,0.0825503355704698,0.2,2.0,170,12,2,18848.0,,0
8518,6.430482871819436,47,1490,0.0315436241610738,0.2,2.0,170,9,1,0.0,"[22997,35167,35365]",3
3748,5.689228406956556,61,1490,0.0409395973154362,0.2,2.0,170,14,1,0.0,"[5844,11316]",2
5844,5.4307205748805485,65,1490,0.0436241610738255,0.2,2.0,170,4,2,3748.0,,0
3474,5.355682112276686,102,1490,0.0684563758389261,0.2,2.0,170,9,2,1.0,,0
7389,4.92095259115766,92,1490,0.061744966442953,0.2,2.0,170,23,1,0.0,"[7660,14149,35112,35327,35339,35376]",6
7660,4.909900335886828,90,1490,0.0604026845637583,0.2,2.0,170,10,2,7389.0,,0
24880,5.938885503882027,38,1490,0.0255033557046979,0.2,2.0,170,4,2,1.0,,0
10971,6.399989280514395,38,1490,0.0255033557046979,0.2,2.0,170,5,1,0.0,"[12365,35209]",2
7752,5.536888468660607,74,1490,0.0496644295302013,0.2,2.0,170,9,1,0.0,"[34243,34432]",2
1518,5.022252064422261,95,1490,0.0637583892617449,0.2,2.0,170,5,2,1.0,,0
8539,6.396937865363067,34,1490,0.0228187919463087,0.2,2.0,170,7,1,0.0,"[9707,35350]",2
184,6.099072261648804,63,1490,0.0422818791946308,0.2,2.0,170,18,1,0.0,"[617,19595,19792]",3
19792,5.476902403596628,107,1490,0.0718120805369127,0.2,2.0,170,9,2,184.0,,0
3,5.339324899996156,87,1490,0.0583892617449664,0.2,2.0,170,8,1,0.0,"[34481,34975]",2
988,5.13932780057621,96,1490,0.0644295302013422,0.2,2.0,170,20,1,0.0,"[31402,34786,35108,35291,35356]",5
145,4.215020584541815,103,1490,0.0691275167785235,0.2,2.0,170,29,1,0.0,"[32158,32229,32628,33397,35079,35319,35337,35338,35341,35349]",10
19691,6.152778018135355,61,1490,0.0409395973154362,0.2,2.0,170,6,1,0.0,"[34634,35343]",2
114,4.869453262659028,115,1490,0.0771812080536912,0.2,2.0,170,18,1,0.0,"[25078,35211,35214,35375]",4
25078,5.759002495409799,133,1490,0.0892617449664429,0.2,2.0,170,11,2,114.0,,0
350,5.523352744250969,51,1490,0.034228187919463,0.2,2.0,170,10,1,0.0,"[25667,35307,35324,35364,35371]",5
5077,5.337364978312874,80,1490,0.0536912751677852,0.2,2.0,170,4,1,0.0,[33514],1
8027,5.943241133747316,64,1490,0.0429530201342281,0.2,2.0,170,5,2,1.0,,0
8689,5.432466692815577,80,1490,0.0536912751677852,0.2,2.0,170,5,2,1.0,,0
21727,5.818465035434054,74,1490,0.0496644295302013,0.2,2.0,170,6,2,1.0,,0
9707,5.371912923207655,89,1490,0.059731543624161,0.2,2.0,170,6,2,8539.0,,0
15193,6.28798466114691,54,1490,0.036241610738255,0.2,2.0,170,9,1,0.0,"[35053,35273,35326,35363,35377]",5
14659,6.012545368210806,50,1490,0.0335570469798657,0.2,2.0,170,14,1,0.0,"[28472,33346,34184]",3
128,5.229078482119564,93,1490,0.0624161073825503,0.2,2.0,170,25,1,0.0,"[8827,18046,31904,33966,34988,35268,35378]",7
8827,5.729583879974163,115,1490,0.0771812080536912,0.2,2.0,170,5,2,128.0,,0
2,4.6160767933825,84,1490,0.0563758389261744,0.2,2.0,170,7,2,1.0,,0
18848,6.469097707947215,45,1490,0.0302013422818791,0.2,2.0,170,12,1,0.0,[19554],1
391,6.063728623597764,45,1490,0.0302013422818791,0.2,2.0,170,7,1,0.0,"[16774,35328]",2
2071,6.115009193263147,74,1490,0.0496644295302013,0.2,2.0,170,15,1,0.0,"[10666,35180,35362]",3
12933,6.14632386048326,53,1490,0.0355704697986577,0.2,2.0,170,10,1,0.0,"[13027,35177,35369,35374]",4
13027,5.656334282506756,78,1490,0.0523489932885906,0.2,2.0,170,5,2,12933.0,,0
19595,5.119140138854636,101,1490,0.0677852348993288,0.2,2.0,170,5,2,184.0,,0
16774,5.772733873017732,88,1490,0.0590604026845637,0.2,2.0,170,5,2,391.0,,0
6175,4.924481545074062,90,1490,0.0604026845637583,0.2,2.0,170,8,1,0.0,"[34943,35225]",2
10666,5.248193425593138,74,1490,0.0496644295302013,0.2,2.0,170,6,2,2071.0,,0
22459,5.508970043879257,90,1490,0.0604026845637583,0.2,2.0,170,5,2,1.0,,0
20148,5.132678747736629,81,1490,0.0543624161073825,0.2,2.0,170,7,2,19926.0,,0
5589,6.12948615193982,32,1490,0.021476510067114,0.2,2.0,170,3,1,0.0,[35250],1
8209,6.349619471033069,55,1490,0.0369127516778523,0.2,2.0,170,5,1,0.0,"[35158,35298]",2
22997,6.051148435082697,73,1490,0.048993288590604,0.2,2.0,170,6,2,8518.0,,0
20052,6.305993662227551,74,1490,0.0496644295302013,0.2,2.0,170,8,1,0.0,"[34829,35322]",2
15097,5.526846745857219,91,1490,0.0610738255033557,0.2,2.0,170,12,1,0.0,"[15457,35345,35370]",3
15457,4.928682830106575,84,1490,0.0563758389261744,0.2,2.0,170,8,2,15097.0,,0
14207,6.242916127650972,46,1490,0.0308724832214765,0.2,2.0,170,11,1,0.0,"[20569,35154,35331,35340]",4
2494,5.046787573844847,86,1490,0.0577181208053691,0.2,2.0,170,7,2,1.0,,0
5599,5.437478629188613,139,1490,0.0932885906040268,0.2,2.0,170,8,2,1.0,,0
15862,5.337086698965911,82,1490,0.0550335570469798,0.2,2.0,170,4,2,9195.0,,0
3589,5.929276203315364,66,1490,0.0442953020134228,0.2,2.0,170,5,2,1.0,,0
1603,5.347582784772155,92,1490,0.061744966442953,0.2,2.0,170,14,1,0.0,[2969],1
11543,5.6648175075830185,57,1490,0.0382550335570469,0.2,2.0,170,5,2,869.0,,0
11316,5.3035081512402416,95,1490,0.0637583892617449,0.2,2.0,170,10,2,3748.0,,0
9195,5.976616872640888,42,1490,0.0281879194630872,0.2,2.0,170,10,1,0.0,"[15862,34702,35310]",3
425,5.303521194423064,98,1490,0.0657718120805369,0.2,2.0,170,7,2,235.0,,0
97,5.62393892199705,51,1490,0.034228187919463,0.2,2.0,170,7,1,0.0,"[35055,35194]",2
1645,5.601790892794583,98,1490,0.0657718120805369,0.2,2.0,170,8,2,1.0,,0
14645,5.976814574945357,95,1490,0.0637583892617449,0.2,2.0,170,12,1,0.0,"[24890,31454,35282]",3
18046,5.413177578415763,85,1490,0.0570469798657718,0.2,2.0,170,6,2,128.0,,0
11599,5.608470874598063,106,1490,0.0711409395973154,0.2,2.0,170,6,2,5749.0,,0
5631,5.495638047132202,63,1490,0.0422818791946308,0.2,2.0,170,14,1,0.0,"[31299,34504,34659]",3
24890,5.888916609908259,49,1490,0.0328859060402684,0.2,2.0,170,5,2,14645.0,,0
516,5.453888144980545,122,1490,0.0818791946308724,0.2,2.0,170,6,2,1.0,,0
825,5.333773444773828,196,1490,0.1315436241610738,0.2,2.0,170,11,2,1.0,,0
23422,5.659928279256721,70,1490,0.046979865771812,0.2,2.0,170,7,1,0.0,"[34505,35245]",2
19926,5.843864647600103,53,1490,0.0355704697986577,0.2,2.0,170,11,1,0.0,"[20148,32266]",2
17618,6.052176109853544,76,1490,0.0510067114093959,0.2,2.0,170,7,1,0.0,"[35251,35269]",2
235,5.955907385218404,60,1490,0.0402684563758389,0.2,2.0,170,7,1,0.0,[425],1
13337,5.910739432102619,57,1490,0.0382550335570469,0.2,2.0,170,3,1,0.0,"[35303,35359]",2
12365,5.089104195801929,70,1490,0.046979865771812,0.2,2.0,170,3,2,10971.0,,0
59,6.796460886733557,29,1490,0.0194630872483221,0.2,2.0,170,8,1,0.0,"[28494,35019,35360]",3
25667,5.87955238171558,67,1490,0.0449664429530201,0.2,2.0,170,4,2,350.0,,0
9119,5.523012474646882,66,1490,0.0442953020134228,0.2,2.0,170,7,2,1.0,,0
358,5.366823804562463,184,1490,0.123489932885906,0.2,2.0,170,13,2,1.0,,0
25882,5.691582755922555,66,1490,0.0442953020134228,0.2,2.0,170,4,2,473.0,,0
20569,5.711456472702055,66,1490,0.0442953020134228,0.2,2.0,170,6,2,14207.0,,0
25961,6.090042168591194,39,1490,0.0261744966442953,0.2,2.0,170,2,2,1.0,,0
27021,6.221874335477308,47,1490,0.0315436241610738,0.2,2.0,170,5,1,0.0,[32971],1
27033,5.851183410568916,67,1490,0.0449664429530201,0.2,2.0,170,5,2,1.0,,0
27410,6.213379777941926,49,1490,0.0328859060402684,0.2,2.0,170,4,1,0.0,"[34654,35305]",2
27448,5.350603629381736,93,1490,0.0624161073825503,0.2,2.0,170,10,2,13173.0,,0
28056,7.258467339147007,3,1490,0.0020134228187919,0.2,2.0,170,2,2,7969.0,,0
28299,5.641670718446818,133,1490,0.0892617449664429,0.2,2.0,170,10,2,1.0,,0
28472,5.34378243216971,80,1490,0.0536912751677852,0.2,2.0,170,5,2,14659.0,,0
28494,4.968531854842263,73,1490,0.048993288590604,0.2,2.0,170,4,2,59.0,,0
28806,5.1293654206300845,103,1490,0.0691275167785235,0.2,2.0,170,6,2,1.0,,0
29136,6.153479487264912,37,1490,0.0248322147651006,0.2,2.0,170,2,2,1.0,,0
29729,5.574739474354816,63,1490,0.0422818791946308,0.2,2.0,170,3,2,22123.0,,0
30229,5.331073456138248,110,1490,0.0738255033557047,0.2,2.0,170,10,2,16440.0,,0
31099,6.308768374255561,31,1490,0.0208053691275167,0.2,2.0,170,3,1,0.0,[34077],1
31299,5.829315508496614,58,1490,0.0389261744966442,0.2,2.0,170,4,2,5631.0,,0
31328,5.560965739222078,55,1490,0.0369127516778523,0.2,2.0,170,5,1,0.0,[33986],1
31402,6.158152140505004,44,1490,0.0295302013422818,0.2,2.0,170,5,2,988.0,,0
31425,5.739209082131495,62,1490,0.0416107382550335,0.2,2.0,170,4,1,0.0,[35295],1
31454,5.433044466115007,97,1490,0.0651006711409395,0.2,2.0,170,6,2,14645.0,,0
31487,6.005212922653466,69,1490,0.0463087248322147,0.2,2.0,170,13,1,0.0,"[32967,35174,35372]",3
31659,6.382007551595537,35,1490,0.023489932885906,0.2,2.0,170,5,2,3775.0,,0
31684,5.964691007652827,43,1490,0.0288590604026845,0.2,2.0,170,6,1,0.0,"[34571,35318,35320]",3
31904,5.610364443003914,82,1490,0.0550335570469798,0.2,2.0,170,7,2,128.0,,0
32158,5.7153346642699,63,1490,0.0422818791946308,0.2,2.0,170,4,2,145.0,,0
32229,5.634619751788799,54,1490,0.036241610738255,0.2,2.0,170,6,2,145.0,,0
32266,6.20981671527702,43,1490,0.0288590604026845,0.2,2.0,170,4,2,19926.0,,0
32323,6.186729537530975,55,1490,0.0369127516778523,0.2,2.0,170,2,2,2255.0,,0
32335,6.524897761916915,46,1490,0.0308724832214765,0.2,2.0,170,7,1,0.0,"[34015,34673,35314]",3
32401,6.375220193144386,40,1490,0.0268456375838926,0.2,2.0,170,5,2,1.0,,0
32451,6.119688794275443,39,1490,0.0261744966442953,0.2,2.0,170,5,1,0.0,"[35235,35358]",2
32628,5.712026689040355,69,1490,0.0463087248322147,0.2,2.0,170,6,2,145.0,,0
32783,5.482389793798027,98,1490,0.0657718120805369,0.2,2.0,170,6,2,869.0,,0
32938,5.928500683576254,80,1490,0.0536912751677852,0.2,2.0,170,5,2,1.0,,0
32956,6.236864714679938,73,1490,0.048993288590604,0.2,2.0,170,6,1,0.0,[34097],1
32967,5.794133327663462,87,1490,0.0583892617449664,0.2,2.0,170,6,2,31487.0,,0
32971,5.558366424021351,68,1490,0.0456375838926174,0.2,2.0,170,5,2,27021.0,,0
32993,6.3364167570813805,50,1490,0.0335570469798657,0.2,2.0,170,5,1,0.0,[32994],1
32994,6.002805985920166,51,1490,0.034228187919463,0.2,2.0,170,5,2,32993.0,,0
33073,5.661541322808174,84,1490,0.0563758389261744,0.2,2.0,170,5,2,15935.0,,0
33346,5.235138567064869,75,1490,0.0503355704697986,0.2,2.0,170,4,2,14659.0,,0
33397,5.779897360182824,49,1490,0.0328859060402684,0.2,2.0,170,3,2,145.0,,0
33431,5.988041474840268,55,1490,0.0369127516778523,0.2,2.0,170,5,1,0.0,[35021],1
33443,6.378407457819613,36,1490,0.0241610738255033,0.2,2.0,170,6,1,0.0,"[34022,35333]",2
